"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0043603","amide metabolic process","42/805","480/18805",0.0521739130434783,2.04402173913043,NA,9.72593376835603e-06,0.00347424248396775,0.00313131190948124,"ACSM1/FASN/SMPDL3B/MCCC2/PLA2G7/APOE/SLC19A1/NUDT8/CERS4/ACACA/SLC27A2/PLPP1/ELOVL7/ACLY/ELOVL2/NAAA/ACSS1/MPC2/PCSK6/HLCS/RTN1/SLC25A42/ABCG1/P4HB/MTHFD2/ACSM3/ACSL3/GNE/AADAT/SLC7A11/NUDT19/AGMAT/SCARB2/ST6GAL1/NANS/HACD2/DIP2A/SLC25A15/MTOR/ABCA2/GGT1/B4GALT3",42,"BP"
"GO:0009306","protein secretion","40/805","372/18805",0.0496894409937888,2.51185467174247,NA,8.80377226166874e-08,0.000273475764365798,0.000246481908463433,"OR51E2/TRPM4/GAL/COMP/FFAR2/PTPRN2/TMEM132A/PPP3CA/SYT7/SOX4/APOE/MYRIP/MPC2/MIA3/SEL1L/ADRA2A/ABCG1/SLC12A2/BAIAP3/PDIA4/OLFM2/ABAT/SLC25A22/CPLX1/NECAB3/GOLPH3/RFX3/BMP8A/COPG1/INHBB/F2RL1/SREBF1/F2R/AP1M2/BMP6/UNC13B/KCNJ11/BRSK2/GLUD1/CD2AP",40,"BP"
"GO:0035592","establishment of protein localization to extracellular region","40/805","375/18805",0.0496894409937888,2.49175983436853,NA,1.09368432059907e-07,0.000273475764365798,0.000246481908463433,"OR51E2/TRPM4/GAL/COMP/FFAR2/PTPRN2/TMEM132A/PPP3CA/SYT7/SOX4/APOE/MYRIP/MPC2/MIA3/SEL1L/ADRA2A/ABCG1/SLC12A2/BAIAP3/PDIA4/OLFM2/ABAT/SLC25A22/CPLX1/NECAB3/GOLPH3/RFX3/BMP8A/COPG1/INHBB/F2RL1/SREBF1/F2R/AP1M2/BMP6/UNC13B/KCNJ11/BRSK2/GLUD1/CD2AP",40,"BP"
"GO:0071692","protein localization to extracellular region","40/805","383/18805",0.0496894409937888,2.43971263156188,NA,1.92373260507032e-07,0.000320686225265222,0.000289032386488109,"OR51E2/TRPM4/GAL/COMP/FFAR2/PTPRN2/TMEM132A/PPP3CA/SYT7/SOX4/APOE/MYRIP/MPC2/MIA3/SEL1L/ADRA2A/ABCG1/SLC12A2/BAIAP3/PDIA4/OLFM2/ABAT/SLC25A22/CPLX1/NECAB3/GOLPH3/RFX3/BMP8A/COPG1/INHBB/F2RL1/SREBF1/F2R/AP1M2/BMP6/UNC13B/KCNJ11/BRSK2/GLUD1/CD2AP",40,"BP"
"GO:0015711","organic anion transport","40/805","469/18805",0.0496894409937888,1.99234528334371,NA,2.83858164213772e-05,0.00650023292248023,0.00585861719741532,"ABCC4/PLA2G2A/SLC43A1/SLC4A4/SLC44A4/SLC38A11/SERINC5/EMB/APOE/SLC19A1/FABP5/SLC27A2/SLC13A3/SLC7A1/MPC2/TTYH3/SLC25A42/SLC37A1/SLC12A2/SLC26A6/LYPLA1/ACSL3/ABAT/SLC25A22/SLC27A4/MGST1/SLC7A11/SLC6A11/SLC25A10/SFXN2/TMEM241/PLA2G12A/SLC2A10/MFSD12/LRRC8B/ABCC1/SLC36A1/SLC25A15/SLC39A6/SLC25A6",40,"BP"
"GO:0051223","regulation of protein transport","39/805","449/18805",0.0484472049689441,2.02906389630511,NA,2.37273924681713e-05,0.00593303448666624,0.00534740497624787,"OR51E2/TRPM4/FFAR2/TMEM132A/PPP3CA/SYT7/SOX4/APOE/MYRIP/MPC2/LCP1/APOD/ADRA2A/ABCG1/ATP2C1/SLC12A2/BAIAP3/LYPLA1/XBP1/ACSL3/ABAT/SLC25A22/SLC7A11/CPLX1/ECT2/GOLPH3/RFX3/BMP8A/INHBB/F2RL1/SREBF1/F2R/BMP6/CDK1/UNC13B/KCNJ11/BRSK2/GLUD1/CD2AP",39,"BP"
"GO:0023061","signal release","38/805","497/18805",0.0472049689440994,1.78609545471587,NA,0.000416794318419894,0.021113698419514,0.0190296375740344,"OR51E2/ABCC4/NKX3-1/TRPM4/SLC44A4/STX19/GAL/FFAR2/PTPRN2/TMEM132A/PPP3CA/SYT7/SOX4/TRPV6/MYRIP/MPC2/ADRA2A/BAIAP3/ABAT/SLC25A22/AGTR1/MYB/MCTP2/CPLX1/SPINK1/RFX3/BMP8A/INHBB/F2RL1/SREBF1/F2R/BMP6/UCN/UNC13B/KCNJ11/BRSK2/GLUD1/PNKD",38,"BP"
"GO:0048732","gland development","37/805","451/18805",0.0459627329192547,1.91647271074631,NA,0.000124926547077069,0.0130157846235921,0.0117310411092984,"HPN/NKX3-1/FASN/FOXA1/HOXB13/ALDH1A3/RAP1GAP/ESRP2/HIPK2/HK2/INSM1/FGL1/CCNB2/TBX1/AR/MESP1/HOXA9/APLN/MT-CO2/EGF/EZH2/XBP1/SIX1/SIX4/NME1/OAS2/NKX2-3/LSR/INHBB/IGF2R/RPS6KA1/EPHB3/SMARCC1/CADM1/ARID5B/ZBTB7B/CD2AP",37,"BP"
"GO:0006869","lipid transport","36/805","460/18805",0.0447204968944099,1.82819335673778,NA,0.000380025684730548,0.0202181749929518,0.0182225081972699,"ABCC4/NKX3-1/PLA2G2A/APOF/GAL/APOC1/SYT7/APOE/FABP5/SLC27A2/SCARB1/SLC13A3/ATP8A2/APOD/ANO7/ABCG1/LYPLA1/EGF/ACSL3/ATP8A1/AGTR1/MYB/SLC27A4/SLC25A10/SOAT1/PLA2G12A/ABCA3/SCARB2/ATP11A/ATP11B/GRAMD1A/OSBP2/HDLBP/ABCC1/BMP6/ABCA2",36,"BP"
"GO:0010876","lipid localization","36/805","482/18805",0.0447204968944099,1.74474884667921,NA,0.000893212703618328,0.0330880917643766,0.0298220795704145,"ABCC4/NKX3-1/PLA2G2A/APOF/GAL/APOC1/SYT7/APOE/FABP5/SLC27A2/SCARB1/SLC13A3/ATP8A2/APOD/ANO7/ABCG1/LYPLA1/EGF/ACSL3/ATP8A1/AGTR1/MYB/SLC27A4/SLC25A10/SOAT1/PLA2G12A/ABCA3/SCARB2/ATP11A/ATP11B/GRAMD1A/OSBP2/HDLBP/ABCC1/BMP6/ABCA2",36,"BP"
"GO:0009100","glycoprotein metabolic process","35/805","400/18805",0.0434782608695652,2.04402173913043,NA,5.29063315527531e-05,0.00929994431723931,0.00838197867088029,"GALNT7/ENTPD5/GCNT1/B3GAT1/COL2A1/TMTC4/BMPR1B/B3GNT6/CANT1/GALNT3/PCSK6/EDEM3/CSGALNACT1/ST6GALNAC1/MGAT4A/GALNT10/SLC10A7/TET3/NECAB3/RAMP1/GOLPH3/SOAT1/GFPT1/OGT/SLC2A10/ST6GAL1/UGDH/B3GALT6/TUSC3/SYVN1/ABCA2/POMK/B4GALT3/ALG6/HS3ST4",35,"BP"
"GO:0006631","fatty acid metabolic process","35/805","413/18805",0.0434782608695652,1.97968207179703,NA,0.000100380555051812,0.0118004072918188,0.0106356295106386,"ACSM1/GDF15/AMACR/SLC45A3/FASN/APOC1/ABHD2/FABP5/CYP2J2/NUDT8/ACACA/SLC27A2/ELOVL7/ACLY/ELOVL2/NAAA/ACSS1/TWIST1/ALOX15/TRIB3/SCD/LYPLA1/XBP1/ACSM3/ACSL3/CTHRC1/SLC27A4/NUDT19/FAAH/ACADSB/CRAT/ECI2/HACD2/SREBF1/GGT1",35,"BP"
"GO:0007059","chromosome segregation","35/805","431/18805",0.0434782608695652,1.89700393422778,NA,0.000229130375783644,0.0150773817012369,0.0135891450014621,"CENPN/MKI67/UBE2C/TOP2A/MYBL2/TPX2/CCNB2/NCAPD3/RCC1/CDC20/CENPM/BIRC5/HJURP/CHMP4C/CDCA8/CENPF/KIFC1/CCNB1/STIL/ECT2/SMARCA4/KIF4A/CENPX/CENPU/NEK6/DLGAP5/BUB1B/NAA60/CENPO/SMARCC1/CDK1/KIF11/SKA3/AURKB/CDCA5",35,"BP"
"GO:0007389","pattern specification process","35/805","476/18805",0.0434782608695652,1.71766532700037,NA,0.00136910246452378,0.0429777252811459,0.0387355412399344,"DLX1/SIM2/NKX3-1/FOXA1/TDRD1/DNAH5/HOXC6/BMPR1B/HIPK2/LFNG/PCSK6/OTX1/TBX1/MESP1/ZBTB16/MICAL2/HOXA9/HOXC4/DLX2/IRX2/SIX1/SHROOM3/STIL/FZD5/RFX3/HES4/IRX4/HEY2/NLE1/GREM2/CHRD/PLD6/TDRD6/SATB2/KAT2A",35,"BP"
"GO:0016042","lipid catabolic process","34/805","350/18805",0.0422360248447205,2.26928127772848,NA,7.80886123497566e-06,0.0034140332096171,0.00307704568635334,"AMACR/PLA2G2A/SMPDL3B/APOC1/ABHD2/PLA2G7/ALDH3B2/PLA1A/APOE/NUDT8/SLC27A2/PLPP1/PDE3B/SCARB1/NAAA/TWIST1/PLCB4/PLBD2/ADRA2A/GDPD1/DGKD/SLC27A4/NUDT19/FAAH/PLPP6/PLA2G12A/SCARB2/CRAT/PNPLA7/ECI2/TBL1XR1/PLD6/PAFAH1B3/LIPH",34,"BP"
"GO:0007015","actin filament organization","34/805","463/18805",0.0422360248447205,1.71543941080987,NA,0.00162662072721566,0.0472949433535203,0.0426266215051251,"TMEFF2/TMSB15A/MARCKSL1/SPTBN2/PPM1E/RHPN2/MYO6/RAC3/LCP1/PPP1R9A/ALOX15/MICAL2/BAIAP2L1/IQGAP2/SHROOM3/RHPN1/BAIAP2/CORO1B/WASF3/TACSTD2/MYO5C/F2RL1/BBS4/CYFIP2/FAT1/MYO1D/ARFIP2/MTOR/MYO1G/ARHGAP28/SHTN1/SHROOM2/CD2AP/MYO19",34,"BP"
"GO:1903829","positive regulation of protein localization","34/805","499/18805",0.0422360248447205,1.59168025491978,NA,0.00530545918138603,0.0947592905932556,0.0854059256191541,"OR51E2/TRPM4/PTP4A3/FFAR2/TMEM132A/SOX4/APOE/MYRIP/BICD1/MPC2/PKP3/ABCG1/ATP2C1/GNL3/BAIAP3/EGF/XBP1/ACSL3/ABAT/ECT2/GOLPH3/DTX3L/FZD5/EPB41/CDK5R1/F2RL1/ABHD17C/BMP6/FARP1/CDK1/UNC13B/KCNJ11/GLUD1/CD2AP",34,"BP"
"GO:0042886","amide transport","33/805","328/18805",0.0409937888198758,2.35026889865172,NA,5.04958493069209e-06,0.00318287541430158,0.00286870468517652,"ABCC4/TRPM4/GAL/FFAR2/PTPRN2/PPP3CA/SYT7/SOX4/SLC19A1/MYRIP/SLC13A3/MPC2/SLC25A42/ADRA2A/BAIAP3/SLC26A6/ABAT/SLC25A22/MGST1/SLC7A11/CPLX1/SPINK1/RFX3/BMP8A/INHBB/F2RL1/SREBF1/ABCC1/UCN/ABCA2/KCNJ11/BRSK2/GLUD1",33,"BP"
"GO:0006644","phospholipid metabolic process","33/805","383/18805",0.0409937888198758,2.01276292103855,NA,0.000115057413746162,0.0127867139143234,0.0115245811850541,"PLA2G2A/SMPDL3B/SLC44A4/MBOAT2/APOC1/PLA2G7/SERINC5/PLA1A/FABP5/PLPP1/SCARB1/NAAA/PLCB4/PLBD2/ALOX15/GDPD1/XBP1/ACSL3/DGKD/LCLAT1/PLPP6/PLA2G12A/ABCA3/PLPPR2/AGPAT3/LPCAT1/PNPLA7/PIGM/SYNJ2/PLPP5/LIPH/PIGW/ABCA2",33,"BP"
"GO:0009101","glycoprotein biosynthetic process","32/805","326/18805",0.0397515527950311,2.29303052242503,NA,1.16181026058724e-05,0.00387347540879785,0.0034911379198839,"GALNT7/ENTPD5/GCNT1/B3GAT1/TMTC4/BMPR1B/B3GNT6/CANT1/GALNT3/EDEM3/CSGALNACT1/ST6GALNAC1/MGAT4A/GALNT10/SLC10A7/TET3/NECAB3/RAMP1/GOLPH3/SOAT1/GFPT1/OGT/SLC2A10/ST6GAL1/UGDH/B3GALT6/TUSC3/ABCA2/POMK/B4GALT3/ALG6/HS3ST4",32,"BP"
"GO:0046394","carboxylic acid biosynthetic process","32/805","334/18805",0.0397515527950311,2.23810763566036,NA,1.89553171772554e-05,0.00526641895574745,0.00474658878087763,"ACSM1/AMACR/SLC45A3/FASN/ALDH1A3/PYCR1/APOC1/ABHD2/SERINC5/FABP5/ACACA/SLC27A2/ELOVL7/ACLY/ELOVL2/ACSS1/PSAT1/ALOX15/TRIB3/SCD/XBP1/ACSM3/GNE/ABAT/CTHRC1/UGDH/NANS/HACD2/SHMT2/SDS/GGT1/GLUD1",32,"BP"
"GO:0016053","organic acid biosynthetic process","32/805","337/18805",0.0397515527950311,2.21818382881471,NA,2.2655612755086e-05,0.00593303448666624,0.00534740497624787,"ACSM1/AMACR/SLC45A3/FASN/ALDH1A3/PYCR1/APOC1/ABHD2/SERINC5/FABP5/ACACA/SLC27A2/ELOVL7/ACLY/ELOVL2/ACSS1/PSAT1/ALOX15/TRIB3/SCD/XBP1/ACSM3/GNE/ABAT/CTHRC1/UGDH/NANS/HACD2/SHMT2/SDS/GGT1/GLUD1",32,"BP"
"GO:0044772","mitotic cell cycle phase transition","32/805","457/18805",0.0397515527950311,1.63572855647825,NA,0.00451962866156883,0.0882916520957254,0.0795766855626551,"PPP3CA/MYC/UBE2C/CCNB2/RCC1/CCNG2/CDC20/BIRC5/EZH2/CHMP4C/CDCA8/CENPF/RRM2/CCNB1/PHF8/STIL/FOXM1/CCNA2/SMARCA4/MELK/NEK6/DLGAP5/BUB1B/SMARCC1/TAOK3/CDK1/STK35/BRSK2/SKA3/EIF4EBP1/AURKB/CDCA5",32,"BP"
"GO:0007264","small GTPase-mediated signal transduction","32/805","487/18805",0.0397515527950311,1.53496499037076,NA,0.0110802568741163,0.149841099235629,0.135050797614575,"RAP1GAP/ARFGEF3/RALGAPA2/APOE/DHCR24/RAC3/ARHGAP32/ADRA2A/SIPA1L3/RAP1GAP2/VAV2/AGTR1/DOCK4/ECT2/RAB6C/OGT/CCDC125/FOXM1/CCNA2/F2RL1/CYTH3/F2R/ARFIP2/PSD4/TNK2/FARP1/RAB39B/FBP1/ARHGAP28/SHTN1/ARHGDIG/CD2AP",32,"BP"
"GO:0043434","response to peptide hormone","32/805","494/18805",0.0397515527950311,1.51321447431287,NA,0.0134054191025572,0.16271966245604,0.146658161975344,"GDF15/GAL/GCNT1/PPP3CA/PDE3B/MZB1/TBC1D4/EPHA10/TRIB3/SLC26A6/RET/SLC25A33/XBP1/AGTR1/SLC27A4/SPINK1/BAIAP2/OGT/CCNA2/INHBB/TNFSF10/SREBF1/FAT1/EPHB3/SMARCC1/MTOR/PTPRJ/FBP1/KLF15/ZBTB7B/EPHA6/CD2AP",32,"BP"
"GO:0046942","carboxylic acid transport","31/805","360/18805",0.0385093167701863,2.01157694962043,NA,0.000185317981638869,0.0149963983209953,0.0135161552132735,"ABCC4/PLA2G2A/SLC43A1/SLC38A11/SERINC5/EMB/APOE/SLC19A1/FABP5/SLC27A2/SLC13A3/SLC7A1/MPC2/TTYH3/SLC12A2/SLC26A6/LYPLA1/ACSL3/ABAT/SLC25A22/SLC27A4/SLC7A11/SLC6A11/SLC25A10/SFXN2/PLA2G12A/MFSD12/LRRC8B/ABCC1/SLC36A1/SLC25A15",31,"BP"
"GO:0015849","organic acid transport","31/805","361/18805",0.0385093167701863,2.00600471430292,NA,0.000194673442236034,0.0149963983209953,0.0135161552132735,"ABCC4/PLA2G2A/SLC43A1/SLC38A11/SERINC5/EMB/APOE/SLC19A1/FABP5/SLC27A2/SLC13A3/SLC7A1/MPC2/TTYH3/SLC12A2/SLC26A6/LYPLA1/ACSL3/ABAT/SLC25A22/SLC27A4/SLC7A11/SLC6A11/SLC25A10/SFXN2/PLA2G12A/MFSD12/LRRC8B/ABCC1/SLC36A1/SLC25A15",31,"BP"
"GO:0046486","glycerolipid metabolic process","31/805","395/18805",0.0385093167701863,1.83333595408444,NA,0.000899816132764492,0.0330880917643766,0.0298220795704145,"PLA2G2A/SLC44A4/MBOAT2/APOC1/ABHD2/PLA2G7/SERINC5/PLA1A/APOE/FABP5/SCARB1/NAAA/PLCB4/SEL1L/ALOX15/GDPD1/ACSL3/DGKD/LCLAT1/FAAH/ABCA3/NKX2-3/AGPAT3/LPCAT1/PNPLA7/SREBF1/PIGM/TBL1XR1/SYNJ2/LIPH/PIGW",31,"BP"
"GO:0003002","regionalization","31/805","430/18805",0.0385093167701863,1.68411093456594,NA,0.00336614804230365,0.0736148439299951,0.0663485748551846,"DLX1/NKX3-1/FOXA1/TDRD1/DNAH5/HOXC6/BMPR1B/HIPK2/LFNG/PCSK6/OTX1/TBX1/MESP1/ZBTB16/MICAL2/HOXA9/HOXC4/DLX2/IRX2/SIX1/STIL/FZD5/RFX3/HES4/HEY2/NLE1/GREM2/CHRD/PLD6/TDRD6/KAT2A",31,"BP"
"GO:0015833","peptide transport","30/805","283/18805",0.0372670807453416,2.47635142549876,NA,4.7767822966862e-06,0.00318287541430158,0.00286870468517652,"ABCC4/TRPM4/GAL/FFAR2/PTPRN2/PPP3CA/SYT7/SOX4/MYRIP/SLC13A3/MPC2/ADRA2A/BAIAP3/SLC26A6/ABAT/SLC25A22/MGST1/SLC7A11/CPLX1/SPINK1/RFX3/BMP8A/INHBB/F2RL1/SREBF1/ABCC1/UCN/KCNJ11/BRSK2/GLUD1",30,"BP"
"GO:0051047","positive regulation of secretion","30/805","321/18805",0.0372670807453416,2.18320078945841,NA,5.43534938254e-05,0.00929994431723931,0.00838197867088029,"OR51E2/NKX3-1/TRPM4/GAL/FFAR2/TMEM132A/PPP3CA/SYT7/SOX4/RAB3D/MYRIP/MPC2/ABCG1/SLC12A2/BAIAP3/ZP3/XBP1/ACSL3/ABAT/MYB/SPINK1/GOLPH3/GRK2/INHBB/F2RL1/BMP6/UCN/UNC13B/GLUD1/CD2AP",30,"BP"
"GO:1901293","nucleoside phosphate biosynthetic process","30/805","322/18805",0.0372670807453416,2.17642066278307,NA,5.75551989115203e-05,0.00929994431723931,0.00838197867088029,"FASN/UAP1/ACACA/SLC27A2/ELOVL7/GMDS/ACLY/IMPDH2/ELOVL2/ACSS1/MPC2/PAICS/GNPNAT1/AK5/TK1/ACSL3/GNE/RRM2/NME1/GFPT1/UGDH/NANS/UCK2/HACD2/CMPK1/PPAT/DIP2A/ADCY1/AK4/IMPDH1",30,"BP"
"GO:0019216","regulation of lipid metabolic process","30/805","343/18805",0.0372670807453416,2.04317041812288,NA,0.000178540075712862,0.0149963983209953,0.0135161552132735,"GOLM1/GDF15/SLC45A3/GAL/APOC1/APOE/FABP5/PLPP1/PDE3B/SCARB1/TWIST1/FMO5/APOD/ADRA2A/ABCG1/TRIB3/SERPINA3/XBP1/ACSL3/ABCA3/SCARB2/OGT/LPCAT1/SREBF1/BBS4/TBL1XR1/BMP6/RORC/MTOR/ABCA2",30,"BP"
"GO:0006816","calcium ion transport","30/805","447/18805",0.0372670807453416,1.56780190920839,NA,0.0103563761402253,0.144671053288455,0.130391069192722,"TRPM8/TRPM4/CACNA1D/BHLHA15/PPP3CA/HOMER2/TRPV6/TSPAN13/CRACR2B/PLCB4/CXCL10/ADRA2A/ATP2C1/MCOLN2/GRIN3A/CXCL11/EGF/CXCL9/SPINK1/RAMP1/ITPR2/EPB41/TRPM2/LETM1/CACNA2D2/CAMK2B/F2R/SEC61A1/UCN/BSPRY",30,"BP"
"GO:0051656","establishment of organelle localization","30/805","487/18805",0.0372670807453416,1.43902967847259,NA,0.0297060418157618,0.260240501557802,0.234553053109485,"SLIT1/RAB17/MLPH/SAPCD2/SEC16A/BICD1/NECTIN2/KIF5C/BICDL1/BAIAP3/BIRC5/CHMP4C/CDCA8/CENPF/KIFC1/CCNB1/LMNB1/ECT2/COPG1/AP1M2/NPM1/TRIM58/FNBP1L/CDK1/UNC13B/SKA3/AURKB/CDCA5/SHROOM2/MYO19",30,"BP"
"GO:0050708","regulation of protein secretion","29/805","273/18805",0.0360248447204969,2.48149159329284,NA,6.57919258990594e-06,0.0034140332096171,0.00307704568635334,"OR51E2/TRPM4/FFAR2/TMEM132A/PPP3CA/SYT7/SOX4/APOE/MYRIP/MPC2/ADRA2A/ABCG1/SLC12A2/BAIAP3/ABAT/SLC25A22/GOLPH3/RFX3/BMP8A/INHBB/F2RL1/SREBF1/F2R/BMP6/UNC13B/KCNJ11/BRSK2/GLUD1/CD2AP",29,"BP"
"GO:0003018","vascular process in circulatory system","29/805","278/18805",0.0360248447204969,2.43686044952858,NA,9.35569106102642e-06,0.00347424248396775,0.00313131190948124,"ABCC4/TRPM4/SLC4A4/ADRB1/PTP4A3/COMP/APOE/SLC19A1/FABP5/DDAH1/SLC13A3/SLC7A1/ADRB2/ADRA2A/SLC12A2/ATP8A1/AGTR1/SLC27A4/DOCK4/FAAH/SLC2A10/F2RL1/F2R/ABCC1/BMP6/OCLN/PTPRJ/UCN/ABCA2",29,"BP"
"GO:0046879","hormone secretion","29/805","320/18805",0.0360248447204969,2.11702251552795,NA,0.000123726958309206,0.0130157846235921,0.0117310411092984,"NKX3-1/TRPM4/GAL/FFAR2/PTPRN2/PPP3CA/SYT7/SOX4/TRPV6/MYRIP/MPC2/ADRA2A/BAIAP3/ABAT/SLC25A22/AGTR1/MYB/CPLX1/SPINK1/RFX3/BMP8A/INHBB/F2RL1/SREBF1/BMP6/UCN/KCNJ11/BRSK2/GLUD1",29,"BP"
"GO:0006790","sulfur compound metabolic process","29/805","329/18805",0.0360248447204969,2.05911004549831,NA,0.000199328697055059,0.0149963983209953,0.0135161552132735,"ACSM1/FASN/MCCC2/B3GAT1/NUDT8/ACACA/SLC27A2/ELOVL7/ACLY/ELOVL2/ACSS1/MPC2/SMS/HLCS/GNMT/MICAL2/CSGALNACT1/ACSM3/ACSL3/AADAT/SLC7A11/SLC25A10/NUDT19/UGDH/B3GALT6/HACD2/DIP2A/GGT1/HS3ST4",29,"BP"
"GO:0009914","hormone transport","29/805","331/18805",0.0360248447204969,2.04666829295753,NA,0.000220895177326518,0.0150512627191968,0.013565604134668,"NKX3-1/TRPM4/GAL/FFAR2/PTPRN2/PPP3CA/SYT7/SOX4/TRPV6/MYRIP/MPC2/ADRA2A/BAIAP3/ABAT/SLC25A22/AGTR1/MYB/CPLX1/SPINK1/RFX3/BMP8A/INHBB/F2RL1/SREBF1/BMP6/UCN/KCNJ11/BRSK2/GLUD1",29,"BP"
"GO:0016032","viral process","29/805","421/18805",0.0360248447204969,1.609138254083,NA,0.00827687778753594,0.126104333303102,0.113657006536352,"HPN/TMPRSS2/MON1B/ZDHHC9/APOE/SCARB1/TOP2A/SLC7A1/BICD1/RCC1/NECTIN2/NECTIN3/P4HB/FAM111A/CHMP4C/AGTR1/MGAT4A/VPS37C/OAS2/SCARB2/PABPC1/GRK2/ST6GAL1/SMARCA4/IGF2R/PPIB/TRIM14/CDK1/TRIM62",29,"BP"
"GO:0140694","membraneless organelle assembly","29/805","427/18805",0.0360248447204969,1.58652741210526,NA,0.00994833046733035,0.139966211624864,0.126150626333189,"MYBPC1/MYBL2/BICD1/SMIM22/LCP1/TPX2/CCNB2/AR/RCC1/CDC20/BIRC5/BOP1/CHMP4C/CDCA8/CENPF/KIFC1/SIX4/STIL/KIF4A/CENPX/NEK6/DLGAP5/NPM1/KIF11/SKA3/NOA1/AURKB/KRT8/KAT2A",29,"BP"
"GO:0009410","response to xenobiotic stimulus","29/805","453/18805",0.0360248447204969,1.49546844364005,NA,0.0206569710089802,0.209813412928296,0.189103449659324,"ABCC4/ACSM1/NKX3-1/GAL/PPM1E/CYP2J2/MYC/MYO6/FMO5/RET/ABAT/VAV2/CENPF/LOX/SLC6A11/RAB6C/ABCA3/SHANK2/SREBF1/CALR/ABCC1/TXNRD2/BPHL/ADCY1/RORC/ABCA2/CDK1/FBP1/KCNJ11",29,"BP"
"GO:0043410","positive regulation of MAPK cascade","29/805","464/18805",0.0360248447204969,1.46001552795031,NA,0.027301729687287,0.246900452379968,0.222529754489318,"GDF15/PLA2G2A/ADRB1/SH3RF1/APOE/HIPK2/DSC2/WWC1/ADRB2/RIPK2/TBX1/ADRA2A/AR/ALOX15/STK39/EGF/EZH2/RET/CHI3L1/BANK1/TRAF4/LPAR3/GPR37/F2RL1/F2R/SASH1/MAPK8IP2/TAOK3/PTPRJ",29,"BP"
"GO:0000280","nuclear division","28/805","448/18805",0.0347826086956522,1.46001552795031,NA,0.0297020306277926,0.260240501557802,0.234553053109485,"MKI67/UBE2C/TOP2A/MYBL2/TPX2/CCNB2/NCAPD3/RCC1/CDC20/BIRC5/EGF/CHMP4C/CDCA8/CENPF/KIFC1/CCNB1/KIF4A/CENPX/CALR/DLGAP5/BUB1B/TESMIN/TOM1L1/CDK1/KIF11/SKA3/AURKB/CDCA5",28,"BP"
"GO:0042060","wound healing","28/805","450/18805",0.0347826086956522,1.45352657004831,NA,0.0311948148702387,0.267204729639729,0.240829866093585,"TMEFF2/ERBB3/COMP/PPP3CA/SYT7/CLDN3/APOE/SCARB1/F5/MIA3/ADRA2A/ALOX15/SLC12A2/XBP1/CHMP4C/VAV2/PDIA3/DGKD/SLC7A11/EPB41L4B/CORO1B/F12/SMOC2/F2RL1/F2R/MTOR/OCLN/PTPRJ",28,"BP"
"GO:0048568","embryonic organ development","28/805","457/18805",0.0347826086956522,1.43126248691847,NA,0.0368736298309036,0.288132848100545,0.259692241670936,"HPN/ALDH1A3/SLC44A4/LRIG1/COL2A1/HIPK2/MYO6/TWIST1/ATP8A2/ST14/OTX1/GRHL2/TBX1/MESP1/NECTIN3/MICAL2/HOXA9/HOXC4/DLX2/SIX1/CTHRC1/SIX4/STIL/FZD5/HEY2/TPRN/SATB2/KRT8",28,"BP"
"GO:0051051","negative regulation of transport","28/805","467/18805",0.0347826086956522,1.40061446792664,NA,0.0462916261425151,0.326864725429682,0.294601028065945,"SLC43A1/ERBB3/APOC1/FFAR2/PPP3CA/NEDD4L/MMP9/APOE/FABP5/TBC1D4/SFRP4/APOD/ADRA2A/STK39/LYPLA1/EGF/ABAT/SPINK1/BMP8A/INHBB/F2RL1/SREBF1/F2R/YRDC/UCN/ABCA2/KCNJ11/PNKD",28,"BP"
"GO:1903532","positive regulation of secretion by cell","27/805","297/18805",0.0335403726708075,2.12365894974591,NA,0.000198791959491048,0.0149963983209953,0.0135161552132735,"OR51E2/NKX3-1/TRPM4/GAL/FFAR2/TMEM132A/SYT7/SOX4/RAB3D/MYRIP/MPC2/ABCG1/SLC12A2/BAIAP3/ZP3/ABAT/MYB/SPINK1/GOLPH3/GRK2/INHBB/F2RL1/BMP6/UCN/UNC13B/GLUD1/CD2AP",27,"BP"
"GO:0021700","developmental maturation","27/805","352/18805",0.0335403726708075,1.79183723884811,NA,0.00258736347195182,0.0631190474303953,0.0568887824744426,"FOXA1/HOXB13/TDRD1/FEV/GAL/ABHD2/BHLHA15/SEZ6L2/RAC3/CNTNAP2/CCDC154/ZBTB16/CDC20/BAIAP3/SLC26A6/RET/XBP1/SPINK1/FZD5/RFX3/RERE/ATP6V1G1/CDK5R1/CAMK2B/PLD6/TRIM58/TDRD6",27,"BP"
"GO:1990778","protein localization to cell periphery","27/805","362/18805",0.0335403726708075,1.74233897258159,NA,0.00379746107955804,0.079332937500481,0.0715022549968027,"SAPCD2/SEC16A/NETO2/AR/PKP3/NECTIN3/ATP2C1/KRT18/LYPLA1/MAP7/ACSL3/NSF/CPLX1/RAMP1/GOLPH3/SCARB2/EPB41/OGT/RAB26/CACNA2D2/CAMK2B/ZDHHC23/PIGW/ABCA2/VPS26B/KCNJ11/AFDN",27,"BP"
